,all,our,over,remove,internet,order,receive,addresses,free,business,email,credit,000,hp,hpl,!,$,longest,total,address,telnet,technology,original,edu,average,font,cs,project,table,[,#,spam
0,0.64,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1.29,0.0,0.0,0.0,0.0,0.778,0.0,61,278,0.64,0.0,0.0,0.0,0.0,3.756,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.5,0.14,0.28,0.21,0.07,0.0,0.21,0.14,0.14,0.07,0.28,0.0,0.43,0.0,0.0,0.372,0.18,101,1028,0.28,0.0,0.0,0.0,0.0,5.114,0.0,0.0,0.0,0.0,0.0,0.048,1
2,0.71,1.23,0.19,0.19,0.12,0.64,0.38,1.75,0.06,0.06,1.03,0.32,1.16,0.0,0.0,0.276,0.184,485,2259,0.0,0.0,0.0,0.12,0.06,9.821,0.0,0.0,0.0,0.0,0.0,0.01,1
3,0.0,0.63,0.0,0.31,0.63,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,40,191,0.0,0.0,0.0,0.0,0.0,3.537,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.0,0.63,0.0,0.31,0.63,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0,40,191,0.0,0.0,0.0,0.0,0.0,3.537,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,1.85,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,54,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,0.0,1.92,0.0,0.0,0.0,0.0,0.96,0.0,0.96,0.0,0.32,0.0,0.0,0.0,0.0,0.164,0.054,4,112,0.0,0.0,0.0,0.0,0.0,1.671,0.0,0.0,0.0,0.0,0.0,0.0,1
7,0.0,1.88,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,49,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,1
8,0.46,0.61,0.0,0.3,0.0,0.92,0.76,0.0,0.0,0.0,0.15,3.53,0.0,0.0,0.0,0.181,0.203,445,1257,0.0,0.0,0.0,0.3,0.0,9.744,0.0,0.0,0.0,0.0,0.0,0.022,1
9,0.77,0.19,0.32,0.38,0.0,0.06,0.0,0.12,0.0,0.0,0.12,0.06,0.19,0.0,0.0,0.244,0.081,43,749,0.12,0.0,0.0,0.0,0.0,1.729,0.0,0.0,0.06,0.0,0.0,0.0,1
10,0.0,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.462,0.0,6,21,0.0,0.0,0.0,0.0,0.0,1.312,0.0,0.0,0.0,0.0,0.0,0.0,1
